date,value
2017-10-21,0.0012406259379184037
2017-10-20,0.00122108455080018
2017-10-19,0.0012171211691008673
2017-10-18,0.0012233982654620984
2017-10-17,0.0012105239277579503
2017-10-16,0.0011963754928972165
2017-10-15,0.001182603237721825
2017-10-14,0.0011623583980405144
2017-10-13,0.0011383297763138105
2017-10-12,0.0011160577087866517
2017-10-11,0.0010980769264359513
2017-10-10,0.0010792257468717455
2017-10-09,0.001048442016522659
2017-10-08,0.0010320472739813321
2017-10-07,0.001027646257325031
2017-10-06,0.00102544781595145
2017-10-05,0.0010449675904174462
2017-10-04,0.0010355090771814754
2017-10-03,0.001023878345266076
2017-10-02,0.0010050997628542043
2017-10-01,0.0009703204790391206
2017-09-30,0.000958294388654335
2017-09-29,0.0009386548124655422
2017-09-28,0.0009170071721409511
